"ID","Context","en","es","fr","ru","zh-CN","pt-BR","id","fa"
"AILLA.Restricted.Description","Description of AILLA choice 'Restricted'","Only assigned Owners, Editors, and Viewers can access","Solo los Propietarios, Editores y Visualizadores asignados pueden acceder","Seuls les Propriétaires, Éditeurs et Lecteurs affectés peuvent accéder","Доступ только у назначенных Владельцев, Редакторов и Просмотрщиков","仅指定的所有者、编辑和查看者可以访问","Somente Proprietários, Editores e Visualizadores atribuídos podem acessar","Hanya Pemilik, Editor, dan Peninjau yang ditugaskan dapat mengakses","فقط مالکان، ویرایشگران و بینندگانِ اختصاص‌یافته می‌توانند دسترسی داشته باشند"
"ANLA","Access Protocol Name","ANLA","ANLA","ANLA","","ANLA","ANLA - Arquivo de Línguas Nativas do Alasca","ANLA","ANLA"
"ANLA.Unrestricted access","ANLA choice","Unrestricted access","Aceso sin restricciones","Accès non restreint aux données","","无限制的访问","Acesso irrestrito","Akses tak terbatas","دسترسی بدون محدودیت"
"ANLA.Unrestricted access.Description","Description of ANLA choice 'Unrestricted access'","Unrestricted access","Aceso sin restricciones","Accès non restreint aux données","","无限制的访问","Acesso irrestrito","Akses tak terbatas","دسترسی بدون محدودیت"
"ANLA.No access until specific date","ANLA choice","No access until specific date","Sin acceso hasta la fecha especificada","Pas d'accès jusqu'à une date précise","","确定日期前不能访问","Sem acesso até a data especificada","Tidak ada akses hingga tanggal tertentu","دسترسی تا زمان مشخصی امکان پذیر نیست"
"ANLA.No access until specific date.Description","Description of ANLA choice 'No access until specific date'","No access until specific date","Sin acceso hasta la fecha especificada","Pas d'accès jusqu'à une date précise","","确定日期前不能访问","Sem acesso até a data especificada","Tidak ada akses hingga tanggal tertentu","دسترسی تا زمان مشخصی امکان پذیر نیست"
"ANLA.Restricted access","ANLA choice","Restricted access","Acceso restringido","Accès restreint","","受限制的访问","Acesso restrito","Akses terbatas","دسترسی محدود"
"ANLA.Restricted access.Description","Description of ANLA choice 'Restricted access'","Restricted access","Acceso restringido","Accès restreint","","受限制的访问","Acesso restrito","Akses terbatas","دسترسی محدود"
"ELAR","Access Protocol Name","ELAR","ELAR","ELAR","","ELAR","ELAR - Arquivo de Línguas Ameaçadas","ELAR","ایلار"
"ELAR.O","ELAR choice","O","totalmente Abierto","O","","O","totalmente Aberto","O","کاملاً آزاد"
"ELAR.O.Description","Description of ELAR choice 'O'","fully Open","totalmente Abierto","entièrement Ouvert","","完全开放","totalmente Aberto","terbuka sepenuhnya","کاملاً آزاد"
"ELAR.U","ELAR choice","U","abierto a Usuarios","U","все пользователи могут получить доступ (требуется регистрация)","U","aberto a Usuários","U","آزاد برای کاربران"
"ELAR.U.Description","Description of ELAR choice 'U'","open to Users","abierto a Usuarios","Ouvert aux utilisateurs","","对用户开放","aberto a Usuários","terbuka untuk pengguna","آزاد برای کاربران"
"ELAR.S","ELAR choice","S","abierto a Suscriptores","S","Только абонентам разрешен доступ (требуется заявление Депозитору)","S","aberto a Assinantes","S","آزاد برای مشترکان"
"ELAR.S.Description","Description of ELAR choice 'S'","open to Subscribers","abierto a Suscriptores","ouvert aux Souscripteurs (abonnés)","","对订阅者开放","aberto a Assinantes","terbuka untuk pelanggan","آزاد برای مشترکان"
"PARADISEC","Access Protocol Name","PARADISEC","PARADISEC","PARADISEC","","PARADISEC","PARADISEC - Arquivo Pacífico e Regional para Fontes Digitais em Línguas Ameaçadas","PARADISEC","PARADISEC، نام پروتکل دسترسی"
"PARADISEC.O","PARADISEC choice","O","Abierto (sujeto a las condiciones de acceso de PARADISEC)","O","","O","Aberto (sujeito a condições de acesso do PARADISEC)","O","آزاد ( تحت شرایط دسترسی PARADISEC)"
"PARADISEC.O.Description","Description of PARADISEC choice 'O'","Open (subject to PARADISEC access conditions)","Abierto (sujeto a las condiciones de acceso de PARADISEC)","Ouvert (soumis aux conditions d'accès PARADISEC)","","开放（取决于PARADISEC的访问条款）","Aberto (sujeito a condições de acesso do PARADISEC)","Terbuka (tergantung pada kondisi akses PARADISEC)","آزاد ( تحت شرایط دسترسی PARADISEC)"
"PARADISEC.C","PARADISEC choice","C","Cerrado (sujeto a algunas condiciones especificadas)","seuls les membres de la communauté sont autorisés à accéder (exige normalement une demande au Déposant)","Только абонентам разрешен доступ (обычно требуется заявление Депозитору)","C","Fechado (sujeito a condições específicas)","C","بسته (تحت شرایط دسترسی Paradisec)"
"PARADISEC.C.Description","Description of PARADISEC choice 'C'","Closed (subject to certain specified conditions)","Cerrado (sujeto a algunas condiciones especificadas)","Restreint (soumis à certaines conditions spécifiques)","","关闭（取决于特定条件）","Fechado (sujeito a condições específicas)","Tertutup (tergantung pada kondisi yang telah ditentukan)","بسته (تحت شرایط دسترسی Paradisec)"
"REAP","Access Protocol Name","REAP","REAP","REAP","","REAP","REAP - Repositório de Arquivamento e Publicação Eletrônicos","REAP","REAP"
"REAP.Unknown.Description","Description of REAP choice 'Unknown'","<unknown>","<desconocido>","inconnu","<неизвестно>","<未知>","<desconhecido>","<tidak diketahui>","نامعلوم"
"REAP.Entity","REAP choice","Entity","Restringido a la Unidad Organizacional","Entité","","实体","Restrito à unidade organizacional","Entitas","محدود به واحدهای سازمانی"
"REAP.Entity.Description","Description of REAP choice 'Entity'","Restricted to Organizational Unit","Restringido a la Unidad Organizacional","Restreint aux unités organisationnelles","","仅限组织单位","Restrito à unidade organizacional","Dibatasi untuk Satuan Organisasi","محدود به واحدهای سازمانی"
"REAP.REAP users","REAP choice","REAP users","Restringido a usuarios de REAP","Utilisateurs REAP","","REAP用户","Restrito a usuários REAP","pengguna REAP","محدود به کاربران REAP"
"REAP.REAP users.Description","Description of REAP choice 'REAP users'","Restricted to REAP users","Restringido a usuarios de REAP","Restreint aux utilisateurs REAP","","仅限REAP用户","Restrito a usuários REAP","Terbatas untuk pengguna REAP","محدود به کاربران REAP"
"REAP.Public","REAP choice","Public","Público","Public","Открытый доступ","公开","Público","Umum","عمومی"
"REAP.Public.Description","Description of REAP choice 'Public'","Public","Público","Public","Открытый доступ","公开","Público","Umum","عمومی"
"TLA","Access Protocol Name","TLA","TLA","TLA","","TLA","TLA - O Arquivo de Línguas","TLA","TLA"
"TLA.Open","TLA choice","Open","Abrir","Ouvrir","Открыть","开放","Aberto","Terbuka","آزاد"
"TLA.Open.Description","Description of TLA choice 'Open'","Open","Abierto","Ouvrir","Открыть","开放","Abrir","Terbuka","بازکردن"
"TLA.Restricted","TLA choice","Restricted","Restringido","Restreint","","受限制的","Restrito","Terbatas","محدود"
"TLA.Restricted.Description","Description of TLA choice 'Restricted'","Restricted","Restringido","Restreint","","受限制的","Restrito","Terbatas","محدود"
"TLA.Protected","TLA choice","Protected","Protegido","Protégé","","受保护的","Protegido","Terlindung","حفاظت شده"
"TLA.Protected.Description","Description of TLA choice 'Protected'","Protected","Protegido","Protégé","","受保护的","Protegido","Terlindung","حفاظت شده"
"TLA.Closed","TLA choice","Closed","Cerrado","Fermé","","关闭的","Fechado","Tertutup","بسته"
"TLA.Closed.Description","Description of TLA choice 'Closed'","Closed","Cerrado","Fermé","","关闭的","Fechado","Tertutup","بسته"
