"ID","Context","en","es-ES","fr","ru","zh-CN","pt-BR","id","fa"
"role.description.illustrator","Description of contributor role 'Illustrator'","The participant contributed drawings or other illustrations to the resource.","El participante contribuyó con dibujos u otras ilustraciones para el material.","Le participant a contribué à la ressource avec des dessins ou d'autres illustrations .","","","O participante contribuiu com desenhos ou outras ilustrações para o material.","Peserta menyumbangkan gambar atau ilustrasi lainnya ke sumber ini.","شرکت کننده نقاشی ها یا سایر تصاویری را به منبع افزوده است."
"role.label.interpreter","Contributor Role","Interpreter","Intérprete","Interprète","","","Intérprete","Jurubahasa/Penerjemah","مترجم شفاهی"
"role.description.interpreter","Description of contributor role 'Interpreter'","The participant translates in real-time or explains the discourse recorded in the resource.","El participante traduce en tiempo real o explica el discurso grabado en el material.","Le participant traduit en temps réel ou explique le discours enregistré dans la ressource.","","","O participante traduz em tempo real ou explica o discurso gravado no material.","Peserta menerjemahkan secara langsung atau menjelaskan percakapan yang direkam dalam sumber tersebut.","شرکت‌کننده فوراً ترجمه می‌کند یا گفتمان ضبط شده در منابع را توضیح می‌دهد."
"role.label.interviewer","Contributor Role","Interviewer","Entrevistador","Interviewer","","","Entrevistador","Pewawancara","مصاحبه کننده"
"role.description.interviewer","Description of contributor role 'Interviewer'","The participant conducted an interview that forms part of the resource.","El participante condujo una entrevista que forma parte del material.","Le participant a mené une interview qui fait partie de la ressource.","","","O participante conduziu uma entrevista que faz parte do material.","Peserta melakukan wawancara yang merupakan bagian dari sumber ini.","شرکت کننده مصاحبه‌ای را انجام می دهد که بخشی از منابع را تشکیل می‌دهد."
"role.label.participant","Contributor Role","Participant","Persona presente","Participant","Участник","","Participante","Partisipan/peserta","شرکت کننده"
"role.description.participant","Description of contributor role 'Participant'","The participant was present during the creation of the resource, but did not contribute substantially to its content.","El participante estaba presente durante la creación del material, pero no contribuyó sustancialmente a su contenido.","Le participant était présent lors de la création de la ressource, mais n'a pas contribué substantiellement à son contenu.","","","O participante esteve presente durante a criação do material, mas não contribuiu substancialmente para seu conteúdo.","Peserta hadir selama pembuatan sumber ini, namun tidak berkontribusi secara substansial terhadap kontennya.","شرکت‌کننده در طول ایجاد منبع حضور دارد اما کمک قابل‌توجهی به محتوای آن نکرده است."
"role.label.performer","Contributor Role","Performer","Participante activo","Interprète d'une pièce ou mise en scène","","","Executante","Penampil","مجری"
"role.description.performer","Description of contributor role 'Performer'","The participant performed some portion of a recorded, filmed, or transcribed resource.","El participante realizó la ejecución de una porción de un material grabado, filmado o transcrito.","Le participant a interprété une partie d'une ressource enregistrée, filmée ou transcrite.","","","O participante realizou alguma parte de um material gravado, filmado ou transcrito.","Peserta melakukan sebagian dari sumber yang direkam, difilmkan, atau ditranskripsikan.","شرکت کنندگان بخشی از یک منبع ضبط شده، فیلمبرداری شده یا رونویسی شده را اجرا کرده است."
"role.label.photographer","Contributor Role","Photographer","Fotógrafo","Photographe","","","Fotógrafo/a","Fotografer","عکاس"
"role.description.photographer","Description of contributor role 'Photographer'","The participant took the photograph, or shot the film, that appears in or  constitutes the resource.","El participante tomó fotografías o hizo las filmaciones que constituyen o aparecen en el material.","Le participant a pris la photographie, ou tourné le film, qui apparaît dans la ressource ou la constitue.","","","O participante tirou a fotografia, ou filmou o filme, que aparece no ou constitui o material.","Peserta mengambil foto, atau merekam film, yang muncul dalam atau merupakan sumber ini.","شرکت‌کننده عکس برداری می کند، یا فیلمی را ضبط می کند که در منبع نمود  می یابد یا منبع را تشکیل می‌دهد."
"role.label.recorder","Contributor Role","Recorder","Encargado de la grabación","Enregistreur","","","Quem gravou","Perekam","ضبط کننده"
"role.description.recorder","Description of contributor role 'Recorder'","The participant operated the recording machinery used to create the resource.","El participante manejó los aparatos de grabación usados para crear el material.","Le participant a utilisé la machine d'enregistrement utilisée pour créer la ressource.","","","O participante operou o equipamento de gravação utilizado para criar o material.","Peserta mengoperasikan mesin perekam yang digunakan untuk membuat sumber ini.","شرکت کننده از دستگاه ضبط برای ایجاد منبع استفاده کرد."
"role.label.researcher","Contributor Role","Researcher","Investigador","Chercheu-r/se","","","Pesquisador(a)","Peneliti","پژوهشگر"
"role.description.researcher","Description of contributor role 'Researcher'","The resource was created as part of the participant's research, or the research presents interim or final results from the participant's research.","El material fue creado como parte de la investigación del participante, o la investigación presenta resultados provisionales o finales de la investigación del participante.","La ressource a été créée dans le cadre de la recherche du participant, ou bien la recherche présente des résultats intermédiaires ou finaux de la recherche du participant.","","","O material foi criado como parte da pesquisa do participante, ou a pesquisa apresenta resultados intermediários ou finais da pesquisa do participante.","Sumber ini dibuat sebagai bagian dari penelitian peserta, atau penelitian ini menyajikan hasil sementara atau final dari penelitian peserta.","منبع به عنوان بخشی از پژوهش شرکت کننده ایجاد شده، یا این پژوهش نتایج موقتی یا نهایی ارائه می‌دهد."
"role.label.research_participant","Contributor Role","Research Participant","Participante de Estudio","Participant a une recherche","","","Participante da Pesquisa","Partisipan Penelitian","شرکت کننده پژوهش"
"role.description.research_participant","Description of contributor role 'Research Participant'","The participant acted as a research subject or responded to a questionnaire, the results of which study form the basis of the resource.","El participante actuó como sujeto de estudio o respondió a un cuestionario, cuyos resultados forman las bases del material.","Le participant a agi en tant que sujet de recherche ou a répondu à un questionnaire, dont les résultats constituent la base de la ressource.","","","O participante agiu como sujeito de pesquisa ou respondeu a um questionário, cujos resultados formam a base do material de pesquisa.","Peserta bertindak sebagai subjek penelitian atau menjawab kuesioner. Hasil studi tersebut merupakan dasar dari sumber ini.","شرکت کننده در جایگاه موضوع پژوهش قرار گرفته و یا به پرسشنامه پاسخ داده است و نتایج آن اساس منبع را شکل می‌دهد."
"role.label.responder","Contributor Role","Responder","Interlocutor","Répondeur","","","Interlocutor","Pembalas/Responden","پاسخ دهنده"
"role.description.responder","Description of contributor role 'Responder'","The participant was an interlocutor in some sort of discourse event.","El participante fue el oyente interlocutor en algún tipo de evento discursivo.","Le participant était un interlocuteur dans une sorte d'événement de discours.","","","O participante foi um interlocutor em algum tipo de discurso.","Peserta adalah lawan bicara dalam suatu acara wacana.","شرکت‌کننده در یک رویداد گفتمانی، گفتگو کننده بوده است."
"role.label.signer","Contributor Role","Signer","Interprete de lengua de señas","Interprète en langue des signes","","","Signer","Penandatangan","امضاکننده"
"role.description.signer","Description of contributor role 'Signer'","The participant was a principal signer in a resource that consists of a recording, a film, or a transcription of a recorded resource.","El participante fue el principal signatario en un material que consiste en una grabación, video o transcripción de un material grabado.","Le participant était un principal interprète en Langue des Signes d'une ressource qui consiste en un enregistrement, un film ou une transcription d'une ressource enregistrée.","","","O participante foi um dos que mais falou em um material que consiste em uma gravação, um filme ou uma transcrição de um material gravado.","Peserta adalah pengguna bahasa isyarat utama dalam sumber yang terdiri dari rekaman, film, atau transkripsi sumber rekaman.","شرکت کننده امضا کننده اصلی یک منبع بوده که شامل یک فایل ضبط شده، فیلم، یا متن پیاده شده از منبع ضبط‌شده بوده است."
"role.label.singer","Contributor Role","Singer","Cantante","Chanteu-r/se","","","Cantor","Penyanyi","خواننده"
"role.description.singer","Description of contributor role 'Singer'","The participant sang, either individually or as part of a group, in  a resource that consists of a recording, a film, or a transcription of a recorded resource.","El participante cantó, ya sea individualmente o como parte de un grupo, en un material que consiste en una grabación, video o transcripción de un material grabado.","Le participant a chanté, individuellement ou en groupe, dans une ressource qui consiste en un enregistrement, un film ou une transcription d'une ressource enregistrée.","","","O participante cantou, individualmente ou como parte de um grupo, em um material que consiste em uma gravação, um filme ou uma transcrição de um material gravado.","Peserta menyanyi, baik sendiri-sendiri maupun sebagai bagian dari sebuah grup, dalam sebuah sumber yang terdiri dari rekaman, film, atau transkripsi dari sumber yang direkam.","شرکت کننده در منبعی که شامل یک فایل ضبطی، فیلم یا متن پیاده شده از یک منبع ضبطی است به صورت انفرادی یا به عنوان عضوی از یک گروه آواز می خواند."
"role.label.speaker","Contributor Role","Speaker","Hablante","Locuteur/locutrice","","","Falante","Pembicara","سخنگو"
"role.description.speaker","Description of contributor role 'Speaker'","The participant was a principal speaker in a resource that consists of a recording, a film, or a transcription of a recorded resource.","El participante fue el hablante principal en un material que consiste en una grabación, video o transcripción de un material grabado.","Le participant était un principal orateur d'une ressource qui consiste en un enregistrement, un film ou une transcription d'une ressource enregistrée.","","","O participante foi um falante principal em um material que consiste em uma gravação, um filme ou uma transcrição de um material gravado.","Peserta adalah pembicara utama dalam sebuah sumber yang terdiri dari rekaman, film, atau transkripsi dari sumber yang direkam.","شرکت‌کننده سخنگوی اصلی در منبعی بوده که شامل یک فایل ضبطی، فیلم، یا متن پیاده شده از یک منبع ضبط‌شده بوده است."
"role.label.sponsor","Contributor Role","Sponsor","Patrocinador","Parrain","","","Patrocinador","Sponsor","حمایت کننده مالی/اسپانسر"
"role.description.sponsor","Description of contributor role 'Sponsor'","The participant contributed financial support to the creation of the resource.","El participante contribuyó con ayuda financiera a la creación del material.","Le participant a contribué financièrement à la création de la ressource.","","","O participante deu apoio financeiro à criação do material.","Peserta menyumbangkan dukungan finansial untuk pembuatan sumber tersebut.","شرکت کننده در ایجاد این منبع مشارکت مالی داشته است."
"role.label.transcriber","Contributor Role","Transcriber","Transcriptor","Transcripteur","","","Transcritor","Penulis","آوانویس"
"role.description.transcriber","Description of contributor role 'Transcriber'","The participant produced a transcription of this or a related resource.","El participante produjo una transcripción de este u otros materiales relacionados.","Le participant a produit une transcription de cette ressource ou d'une ressource reliée.","","","O participante produziu uma transcrição deste ou de um material relacionado.","Peserta membuat transkripsi dari sumber ini atau sumber terkait.","شرکت کننده از منبع یا منابع مرتبط متونی را آوانویسی کرده است."
"role.label.translator","Contributor Role","Translator","Traductor","Traducteur/traductrice","","","Tradutor","Penerjemah","مترجم"
"role.description.translator","Description of contributor role 'Translator'","The participant produced a translation of this or a related resource.","El participante produjo una traducción de este u otro material relacionado.","Le participant a produit une traduction de cette ressource ou d'une ressource connexe.","","","O participante fez uma tradução deste ou de um material relacionado.","Peserta membuat terjemahan dari sumber ini atau sumber terkait.","شرکت کننده منبع یا منابع مرتبط را ترجمه کرده است."
