"Context","en","es-ES","fr","ru","zh-CN","pt-BR","id","fa"
"Genre which is: Public speaking, or speaking eloquently according to rules or conventions.","Oratory","Oratoria","Discours public","Оратория","演讲","Oratória","Pidato","خطابه"
"Definition of genre 'Oratory'","Public speaking, or speaking eloquently according to rules or conventions.","Hablar en público o hablar elocuentemente de acuerdo a reglas y convenciones.","Discours publique ou discours éloquent selon les regles et les conventions .","","公共演讲，或按照规则或惯例雄辩地发言。","Falar em público ou falar eloquentemente de acordo com regras ou convenções.","Pidato umum, atau berbicara dengan fasih sesuai dengan aturan atau konvensi.","سخنرامی عمومی یا سخنرانی فصیح طبق قواعد و رسوم."
"Example of genre 'Oratory'","Sermon","Sermón","Sermon","","宗教讲道","Sermão","Khotbah","پند"
"Example of genre 'Oratory'","Lecture","Conferencia","Lecture","","演讲","Leitura","Kuliah","سخنرانی"
"Example of genre 'Oratory'","Political Speech","Discurso Político","Discours Politique","","政治演讲","Discurso Político","Pidato Politik","سخنرانی سیاسی"
"Example of genre 'Oratory'","Invocation","Invocación","Invocation","","致词","Invocações","Doa/Seruan/Pemanggilan","نیایش"
"Genre which is: A monologic discourse which represents temporally organized events.","Narrative","Narrativa","Récit","Повествование","叙事","Narrativa","Narasi","روایت"
"Definition of genre 'Narrative'","A monologic discourse which represents temporally organized events.","Un discurso monologado que representa eventos organizados temporalmente.","Un discours monologique représentant des événements organisés dans le temps.","","一种表示临时组织活动的单一话语。","Um discurso monológico que representa eventos temporalmente organizados.","Wacana monologis yang menceritakan peristiwa-peristiwa yang tersusu turut-berturut.","گفتمانی تک گویانه که رویدادی سازمان یافته زمانی را نشان می دهد."
"Example of genre 'Narrative'","Historical","Histórico","Historique","","历史性","Histórica","Historis","تاریخی"
"Example of genre 'Narrative'","Traditional","Tradicional","Traditionnel","","传统","Tradicional","Tradisional","سنتی"
"Example of genre 'Narrative'","Personal","Personal","Personnel","","个人","Pessoal","Personal","شخصی"
"Example of genre 'Narrative'","Myth","Mito","Mythe","","神话","Mitos","Mitos","اسطوره"
"Example of genre 'Narrative'","Folktale","Leyenda","Conte folklorique","","民间故事","Conto Popular","Dongeng","داستان عامیانه"
"Example of genre 'Narrative'","Fable","Fábula","Fable","","寓言","Fábula","Fabel","افسانه"
"Example of genre 'Narrative'","Humorous Story","Historia de humor","Histoire Humoristique","","幽默故事","História Humorística","Cerita Lucu","داستان طنز"
"Genre which is: An explanation or description of a method, process, or situation having ordered steps.","Procedural Discourse","Discurso de procedimiento","Discours procédurale","Процедурная речь","程序性话语","Discurso Instrucional","Wacana Prosedural","گفتمان رویه ای"
"Definition of genre 'Procedural Discourse'","An explanation or description of a method, process, or situation having ordered steps.","Una explicación o descripción de un método, proceso o situación con pasos ordenados.","Une explication ou une description d'une méthode, d'un processus ou d'une situation comportant des étapes ordonnées.","","对方法、过程或情况的解释或描述，具有顺序步骤。","Uma explicação ou descrição de um método, processo ou situação que demanda etapas.","Penjelasan atau Keterangan tentang suatu metode, proses, atau situasi secara teratur.","توضیح یا توصیفی از یک روش، فرایند یا وضعیتی که دارای مراحل ترتیبی است."
"Example of genre 'Procedural Discourse'","Recipe","Receta","Recette","","食谱","Receita","Resep (masakan)","دستور آماده سازی"
"Example of genre 'Procedural Discourse'","Instructions","Instrucciones","Instructions","","指南","Instruções","Instruksi","دستورالعمل"
"Example of genre 'Procedural Discourse'","Plan","Plan","Plan","","计划","Planos","Rencana","برنامه"
"Genre which is: A factual account of some event or circumstance.","Report","Informe","Rapport","Отчет","报告","Relato","Laporan","گزارش"
"Definition of genre 'Report'","A factual account of some event or circumstance.","Una explicación de los hechos de un evento o circunstancia.","Récit factuel d'un événement ou d'une circonstance.","","对某些事件或情况的如实描述。","Um relato factual de algum evento ou circunstância.","Sebuah laporan faktual mengenai suatu peristiwa atau keadaan.","گزارشی واقعی از یک رویداد یا واقعه."
"Example of genre 'Report'","News Report","Reportaje de Noticias","Bulletin d'Information","","新闻报告","Relato de Notícias","Laporan Berita","گزارش خبر"
"Example of genre 'Report'","Essay","Ensayo","Rédaction","","论文","Ensaio","Esai","مقاله"
"Example of genre 'Report'","Commentary","Comentario","Commentaire","","评论","Comentários","Komentar","تفسیر"
"Genre which is: Words or sounds articulated in succession with musical inflections or modulations of the voice.","Singing","Canto","Chant","Пение","唱歌","Cantos","Nyanyian","آوازخوانی"
"Definition of genre 'Singing'","Words or sounds articulated in succession with musical inflections or modulations of the voice.","Palabras o sonidos articulados en sucesión con inflexiones o modulaciones musicales de la voz.","Mots ou sons articulés successivement avec des inflexions musicales ou des modulations de la voix.","","连续发音的词或声，伴有音乐的转折或声音的变调。","Palavras ou sons articulados em sucessão com inflexões ou modulações musicais da voz.","Kata-kata atau suara yang diucapkan berturut-turut dengan infleksi musikal atau modulasi suara.","کلمات یا اصوات به طور پی در پی با عطف های موسیقی یا تعدیل صدا بیان می شوند."
"Example of genre 'Singing'","Chant","Cántico","Chant","","吟诵","Cânticos","Nyanyian","سرود"
"Example of genre 'Singing'","Song","Canción","Chanson","","歌曲","Canções","Lagu","آهنگ"
"Example of genre 'Singing'","Chorus","Coro","Refrain","","副歌","Refrões","Paduan Suara","همخوانی"
"Genre which is: Music intended to be performed by a musical instrument or group of instruments.","Instrumental Music","Música Instrumental","Musique instrumentale","Инструментальная музыка","器乐","Música Instrumental","Musik Instrumen","موسیقی بدون کلام"
"Definition of genre 'Instrumental Music'","Music intended to be performed by a musical instrument or group of instruments.","Música que debe ser tocada por un instrumento musical o grupo de instrumentos.","Musique destinée à être interprétée par un instrument de musique ou un groupe d'instruments.","","由一种乐器或一组乐器演奏的音乐。","Música destinada a ser tocada por um instrumento musical ou um grupo de instrumentos.","Musik yang dimaksudkan untuk dipentaskan oleh alat musik atau beberapa alat musik.","موسیقی در نظر گرفته شده توسط یک ساز موسیقی یا چند ساز اجرا شود."
"Genre which is: Utterances that are not intended to be interpretable as ordinary language.","Unintelligible Speech","Habla ininteligible","Discours inintelligible","Неразборчивая речь","无法理解的言语","Discurso ininteligível","Ucapan yang tidak dapat dipahami","گفتار نامفهوم"
"Definition of genre 'Unintelligible Speech'","Utterances that are not intended to be interpretable as ordinary language.","Enunciados que no se supone que deben interpretarse como lenguaje común.","Phrases qui ne sont pas destinées à être interprétées comme la langue l’es.","","无意被解释为普通语言的言语。","Enunciados que não se destinam a ser interpretáveis ​​como linguagem comum.","Ucapan yang tidak dimaksudkan untuk ditafsirkan sebagai bahasa biasa.","گفته هایی که قرار نیست به عنوان یک زبان معمولی تعبیر شوند."
"Example of genre 'Unintelligible Speech'","Sacred Language","Lengua Sagrada","Langue Secrète","","神圣语言","Linguagem Sagrada","Bahasa Suci","زبان مقدس"
"Example of genre 'Unintelligible Speech'","Glossolalia","Glosolalia","Glossolalie","","舌语","Glossolalia","Glossolalia/Bahasa Lidah","گلوسولالیا/صحبت به زبان ناشناخته"
"Example of genre 'Unintelligible Speech'","Singing Syllables (fa-la-la)","Cantar Sílabas (fa-la-la)","Syllabe Chantante (fa-la-la)","","歌唱音节（fa-la-la）","Sílabas Cantadas (fa-la-la)","Suku Kata untuk Nyanyian (fa-la-la)","هجاهای آوازخوانی (فا-لا-لا)"
"Elicitation","Elicitation","Elicitación","Élicitation","","征求意见","Elicitação","Elisitasi","استخراج"
"Translation","Translation","Traducción","Traduction","Перевод","翻译","Tradução","Terjemahan","ترجمه"
"Academic Output","Academic Output","Producción académica","","","学术输出","","",""
"Community Materials","Community Materials","Materiales para la comunidad","","","社区材料","","",""
"Consent","Consent","Consentimiento","","","同意","","",""
"Conversation","Conversation","Conversación","","","对话","Conversação","",""
"Description","Description","Descripción","","","说明","","",""
"Dialog","Dialog","Diálogo","","","对话框","","",""
"Dictionary","Dictionary","Diccionario","","","字典","","",""
"Folktale","Folktale","Leyenda","","","民间故事","Conto Popular","",""
"Grammar","Grammar","Gramática","","","语法","","",""
"Interview","Interview","Entrevista","","","面谈","Entrevista","",""
"Ludic Discourse","Ludic Discourse","Discurso lúdico","","","开玩笑的话语","","",""
"Map","Map","Mapa","","","地图","","",""
"Mythology","Mythology","Mitología","","","神话","","",""
"Notes","Notes","Notas","","","注释","","",""
"Oral History","Oral History","Historia oral","","","口述历史","","",""
"Personal Narrative","Personal Narrative","Narrativa personal","","","个人叙事","","",""
"Photograph","Photograph","Fotografía","","","照片","","",""
"Procedural Text","Procedural Text","Texto de procedimiento","","","程序文本","","",""
"Proverb","Proverb","Proverbio","","","箴言","","",""
"Questionnaire","Questionnaire","Cuestionario","","","问卷","","",""
"Report","Report","Informe","","","报告","Relato","",""
"RitualSong","RitualSong","Canción de ritual","","","仪式歌曲","","",""
"Stimuli","Stimuli","Estímulo","","","刺激","","",""
"Verbal Art","Verbal Art","Arte Verbal","","","语言艺术","Arte Verbal","",""
