"file","key","column","repo","crowdin","action"
"genres.csv","Dictionary | Dictionary","zh-CN","字典","词典","took crowdin"
"genres.csv","Interview | Interview","zh-CN","面谈","访谈","took crowdin"
"genres.csv","Ludic Discourse | Ludic Discourse","zh-CN","开玩笑的话语","玩笑话","took crowdin"
"genres.csv","Procedural Text | Procedural Text","zh-CN","程序文本","程序化的文字","took crowdin"
"genres.csv","Stimuli | Stimuli","zh-CN","刺激","诱导因素","took crowdin"
"genres.csv","Verbal Art | Verbal Art","zh-CN","语言艺术","口头艺术","took crowdin"
"roles.csv","role.label.depositor | Contributor Role | Depositor","zh-CN","上传者","存档人","took crowdin"
"accessProtocols.csv","AILCA | Access Protocol Name | AILCA","zh-CN","Ibi Ìlò","AILCA","took crowdin"
"accessProtocols.csv","AILCA.F | AILCA choice | F","ru","доступ свободен для всех","Открытый доступ","took crowdin"
"accessProtocols.csv","AILCA.F.Description | Description of AILCA choice 'F' | access is Free to all","zh-CN","自由访问","对所有人免费开放","took crowdin"
"accessProtocols.csv","AILCA.U | AILCA choice | U","ru","все пользователи могут получить доступ (требуется регистрация)","Доступ для зарегистрированных пользователей","took crowdin"
"accessProtocols.csv","AILCA.U.Description | Description of AILCA choice 'U' | all Users can access (requires registration)","zh-CN","所有用户可以访问（需注册）","所有用户均可访问（需注册）","took crowdin"
"accessProtocols.csv","AILCA.RC | AILCA choice | RC","ru","Доступ разрешен исследователям и членам общественности","Доступ для исследователей и членов языкового сообщества","took crowdin"
"accessProtocols.csv","AILCA.RC.Description | Description of AILCA choice 'RC' | Researchers and Community members are allowed access","ru","Доступ разрешен исследователям и членам общественности","Доступ для исследователей и членов языкового сообщества","took crowdin"
"accessProtocols.csv","AILCA.RC.Description | Description of AILCA choice 'RC' | Researchers and Community members are allowed access","zh-CN","研究者和社区成员可以访问","研究者和社区成员可访问","took crowdin"
"accessProtocols.csv","AILCA.C | AILCA choice | C","ru","Только абонентам разрешен доступ (обычно требуется заявление Депозитору)","Доступ для членов языкового сообщества (как правило, требуется заявление Депоненту)","took crowdin"
"accessProtocols.csv","AILCA.C.Description | Description of AILCA choice 'C' | only Community members are allowed access (normally requires application to Depositor)","ru","Только абонентам разрешен доступ (обычно требуется заявление Депозитору)","Доступ для членов языкового сообщества (как правило, требуется заявление Депоненту)","took crowdin"
"accessProtocols.csv","AILCA.C.Description | Description of AILCA choice 'C' | only Community members are allowed access (normally requires application to Depositor)","zh-CN","仅社区成员可以访问（通常需要向存档人申请）","仅社区成员可访问（通常需要向存档人申请）","took crowdin"
"accessProtocols.csv","AILCA.S.Description | Description of AILCA choice 'S' | only Subscribers are allowed access (requires application to Depositor)","ru","Только абонентам разрешен доступ (требуется заявление Депозитору)","Доступ только для подписчиков (как правило, требуется заявление Депоненту)","took crowdin"
"accessProtocols.csv","AILCA.S.Description | Description of AILCA choice 'S' | only Subscribers are allowed access (requires application to Depositor)","zh-CN","仅订阅者可以访问（需要向存档人申请）","仅订阅人可以访问（需向存档人申请）","took crowdin"
"accessProtocols.csv","AILCA.Unspecified | AILCA choice | Unspecified","ru","Не указано","Закрытый доступ","took crowdin"
"accessProtocols.csv","AILCA.Unspecified.Description | Description of AILCA choice 'Unspecified' | only the Depositor and delegate can access","ru","Доступ разрешен только Депозитору и делегату","Доступ только для Депонента и делегированных им лиц","took crowdin"
"accessProtocols.csv","AILCA.Unspecified.Description | Description of AILCA choice 'Unspecified' | only the Depositor and delegate can access","zh-CN","仅存档人和代表可以访问","仅存档人和委托人可访问","took crowdin"
"accessProtocols.csv","ANLA.No access until specific date | ANLA choice | No access until specific date","zh-CN","确定日期前不能访问","指定日期前不能访问","took crowdin"
"accessProtocols.csv","ANLA.No access until specific date.Description | Description of ANLA choice 'No access until specific date' | No access until specific date","zh-CN","确定日期前不能访问","指定日期前不能访问","took crowdin"
"accessProtocols.csv","ELAR.U | ELAR choice | U","ru","все пользователи могут получить доступ (требуется регистрация)","Доступ для зарегистрированных пользователей","took crowdin"
"accessProtocols.csv","ELAR.S | ELAR choice | S","ru","Только абонентам разрешен доступ (требуется заявление Депозитору)","Доступ только для подписчиков","took crowdin"
"accessProtocols.csv","ELAR.S.Description | Description of ELAR choice 'S' | open to Subscribers","zh-CN","对订阅者开放","对订阅人开放","took crowdin"
"accessProtocols.csv","PARADISEC.C | PARADISEC choice | C","ru","Только абонентам разрешен доступ (обычно требуется заявление Депозитору)","Закрытый доступ (согласно специальным ограничениям)","took crowdin"
"accessProtocols.csv","TLA.Open | TLA choice | Open","ru","Открыть","Открытый доступ","took crowdin"
"accessProtocols.csv","TLA.Open.Description | Description of TLA choice 'Open' | Open","ru","Открыть","Открытый доступ","took crowdin"
